name,set,product_id,rarity,number,market_price,low_price,mid_price,printing
Keep the Ancient Ways,Winterspell,673432,Uncommon,196/204,0.9,0.29,1.0,Cold Foil
Morgana Macawber - Self-Centered Spellcaster,Winterspell,673736,Common,40/204,0.23,0.05,0.25,Cold Foil
Tigger - Bouncing All the Way,Winterspell,673737,Common,37/204,0.32,0.1,0.37,Cold Foil
Amos Slade - Tenacious Tracker,Winterspell,673738,Common,180/204,0.17,0.06,0.25,Cold Foil
Sina - Vigilant Parent,Winterspell,673739,Common,142/204,0.16,0.01,0.2,Cold Foil
Chief - Seasoned Tracker,Winterspell,673740,Uncommon,179/204,0.04,0.01,0.1,Normal
Piglet - Cocoa Maker,Winterspell,673741,Rare,147/204,0.38,0.19,0.4,Cold Foil
Visiting Christmas Past,Winterspell,673742,Rare,162/204,0.44,0.35,0.48,Cold Foil
Darkwing Duck - Drake Mallard,Winterspell,673743,Uncommon,145/204,0.15,0.01,0.17,Normal
Goofy - Marley's Clumsy Spirit,Winterspell,673759,Common,120/204,0.05,0.01,0.1,Normal
Nani - No Worries,Winterspell,673760,Common,184/204,0.05,0.01,0.1,Normal
Snow Fort,Winterspell,673761,Uncommon,98/204,0.15,0.05,0.2,Normal
Simba - Playful Pouncer,Winterspell,674317,Uncommon,23/204,0.29,0.09,0.32,Cold Foil
Nakoma - Waiting Out the Storm,Winterspell,674319,Common,6/204,0.23,0.05,0.31,Cold Foil
Akood Et Emuti,Winterspell,674689,Rare,29/204,1.56,0.89,1.67,Normal
Let It Go,Winterspell,674692,Rare,163/204,0.69,0.17,0.64,Normal
Strike a Good Match,Winterspell,674693,Common,94/204,0.06,0.01,0.11,Normal
Force of a Great Typhoon,Winterspell,674694,Common,128/204,0.27,0.13,0.3,Cold Foil
Let's Get Dangerous,Winterspell,674695,Rare,198/204,0.22,0.09,0.25,Normal
Colors of the Wind,Winterspell,674696,Super Rare,64/204,0.28,0.15,0.38,Normal
Flit - Reflective Hummingbird,Winterspell,674697,Uncommon,39/204,0.28,0.12,0.34,Cold Foil
Pocahontas - Following the Wind,Winterspell,674700,Super Rare,42/204,4.68,3.98,4.99,Cold Foil
Meeko - Skittish Scrounger,Winterspell,674701,Uncommon,46/204,0.36,0.2,0.43,Cold Foil
Thomas - Wide-Eyed Recruit,Winterspell,674816,Common,1/204,0.04,0.01,0.1,Normal
Pudge - Controls the Weather,Winterspell,674818,Uncommon,3/204,1.59,0.79,1.95,Cold Foil
Pumbaa - Winter Warthog,Winterspell,674820,Common,4/204,0.04,0.01,0.1,Normal
Pocahontas - Finding the Way,Winterspell,674822,Common,8/204,0.2,0.05,0.25,Cold Foil
David - Protective Snowboarder,Winterspell,674826,Common,9/204,0.05,0.01,0.1,Normal
Fangmeyer - Icy Officer,Winterspell,674827,Common,10/204,0.14,0.04,0.2,Cold Foil
John Smith - Snow Tracker,Winterspell,674828,Uncommon,15/204,0.05,0.01,0.12,Normal
Nani - Stage Manager,Winterspell,674829,Uncommon,20/204,4.6,4.55,5.06,Cold Foil
Percy - Pupsicle,Winterspell,674830,Common,27/204,0.15,0.03,0.2,Cold Foil
Wisdom of the Willow,Winterspell,674831,Uncommon,31/204,0.46,0.25,0.46,Cold Foil
John Smith's Compass,Winterspell,674832,Rare,33/204,0.13,0.05,0.2,Normal
Zootopia - Tundratown,Winterspell,674833,Common,34/204,0.17,0.05,0.25,Cold Foil
Nala - Romping in the Snow,Winterspell,674840,Common,35/204,0.2,0.1,0.28,Cold Foil
Alice - Well-Read Whisper,Winterspell,674841,Uncommon,36/204,0.09,0.01,0.14,Normal
Darkwing Duck - Darkwolf Dog,Winterspell,674851,Common,43/204,0.04,0.01,0.1,Normal
Eeyore - In the Way,Winterspell,674852,Rare,45/204,0.22,0.06,0.23,Normal
Eeyore - In the Way (Enchanted),Winterspell,675279,Enchanted,226/204,221.12,249.48,276.96,Holofoil
Genie - Magical Researcher (Epic),Winterspell,675280,Epic,210/204,11.63,8.5,13.3,Holofoil
Marshmallow - Cranky Climber,Winterspell,675281,Rare,53/204,0.82,0.65,0.86,Cold Foil
Lumpy - Playful Heffalump,Winterspell,675285,Common,56/204,0.2,0.04,0.25,Cold Foil
"Witches of Morva - Orddu, Orwen, and Orgoch",Winterspell,675295,Rare,57/204,0.16,0.04,0.23,Normal
HeiHei - Persistent Presence,Winterspell,675296,Common,58/204,0.15,0.02,0.25,Cold Foil
Pua - Disgruntled Pig,Winterspell,675297,Common,59/204,0.17,0.04,0.25,Cold Foil
Come Out and Fight!,Winterspell,675298,Common,62/204,0.05,0.01,0.1,Normal
Swordplay,Winterspell,675299,Common,63/204,0.04,0.01,0.1,Normal
Mother's Necklace,Winterspell,675300,Uncommon,65/204,0.21,0.17,0.29,Cold Foil
Mystical Inkcaster,Winterspell,675301,Rare,66/204,0.31,0.05,0.32,Cold Foil
Grab Your Bow,Winterspell,675343,Uncommon,131/204,0.11,0.02,0.15,Normal
Wreck-It Ralph - Raging Wrecker,Winterspell,675344,Legendary,103/204,2.16,1.7,3.1,Normal
Lonely Grave,Winterspell,675345,Uncommon,132/204,0.3,0.12,0.3,Cold Foil
Lilo - Snow Artist,Winterspell,675377,Common,2/204,0.26,0.04,0.35,Cold Foil
Tiana - Warm and Happy,Winterspell,675378,Common,5/204,0.05,0.01,0.1,Normal
Cobra Bubbles - Dedicated Official,Winterspell,675379,Rare,14/204,0.1,0.04,0.2,Normal
Stitch - Carefree Snowboarder (Epic),Winterspell,675380,Epic,207/204,22.11,21.0,22.15,Holofoil
Kristoff - Icy Explorer,Winterspell,675381,Rare,51/204,0.5,0.25,0.52,Cold Foil
Anna - Little Sister,Winterspell,675382,Uncommon,52/204,0.06,0.01,0.15,Normal
Mulan - Resourceful Recruit,Winterspell,675383,Super Rare,69/204,0.86,0.2,1.23,Normal
Stitch - Naughty Experiment,Winterspell,675386,Common,70/204,0.09,0.01,0.12,Normal
Yao - Snow Warrior,Winterspell,675387,Common,73/204,0.03,0.01,0.1,Normal
Chien-Po  - Snow Warrior,Winterspell,675388,Uncommon,74/204,0.2,0.1,0.25,Cold Foil
Ling - Snow Warrior,Winterspell,675389,Rare,75/204,0.31,0.13,0.5,Cold Foil
Stegmutt - Clumsy Dinosaur,Winterspell,675390,Rare,79/204,0.32,0.14,0.35,Cold Foil
Mushu - Sneaky Dragon,Winterspell,675391,Uncommon,82/204,0.22,0.11,0.28,Cold Foil
Rafiki's Bakora Staff,Winterspell,675392,Uncommon,99/204,0.22,0.05,0.25,Cold Foil
Retro Evolution Device,Winterspell,675393,Rare,100/204,0.63,0.45,0.77,Cold Foil
Battering Ram,Winterspell,675394,Rare,101/204,0.11,0.01,0.16,Normal
Freeze the Vine (Enchanted),Winterspell,675395,Enchanted,231/204,63.16,62.81,99.99,Holofoil
Donald Duck - Nephew Fred,Winterspell,675405,Common,105/204,0.06,0.01,0.1,Normal
Copper - On the Scent,Winterspell,675496,Uncommon,107/204,0.43,0.05,0.48,Cold Foil
Mulan - Ready for Battle,Winterspell,675497,Uncommon,108/204,0.08,0.01,0.14,Normal
Maui - Snow Slider,Winterspell,675498,Common,109/204,0.23,0.1,0.26,Cold Foil
Iduna - Alarmed Queen,Winterspell,675499,Common,113/204,0.03,0.01,0.1,Normal
Agnarr - King of Arendelle,Winterspell,675500,Common,114/204,0.04,0.01,0.1,Normal
Negaduck - Evil Doppelganger,Winterspell,675501,Common,115/204,0.08,0.01,0.1,Normal
Hercules - Spectral Demigod,Winterspell,675502,Common,117/204,0.08,0.01,0.1,Normal
Slushy - Glacial Guster,Winterspell,675504,Uncommon,119/204,0.12,0.03,0.15,Normal
Goofy - Klutzy Skier,Winterspell,675505,Rare,121/204,0.23,0.06,0.25,Normal
Marching Off to Battle,Winterspell,675506,Common,129/204,0.28,0.15,0.34,Cold Foil
Kristoff's Lute,Winterspell,675510,Rare,133/204,0.16,0.01,0.19,Normal
Beast's Castle - Winter Gardens,Winterspell,675513,Common,136/204,0.17,0.05,0.24,Cold Foil
Elsa - Ice Artisan (Enchanted),Winterspell,675515,Enchanted,233/204,234.66,279.99,337.5,Holofoil
Chief Powhatan - Protective Leader,Winterspell,676186,Uncommon,11/204,0.6,0.25,0.69,Cold Foil
Sarabi - Protecting the Pride,Winterspell,676187,Common,12/204,0.26,0.05,0.29,Cold Foil
Grandmother Willow - Ancient Advisor,Winterspell,676188,Uncommon,13/204,2.27,1.75,2.55,Cold Foil
Lilo - Rock Star,Winterspell,676189,Super Rare,17/204,0.55,0.2,0.85,Normal
Bambi - Ethereal Fawn,Winterspell,676190,Super Rare,24/204,2.14,1.4,2.48,Cold Foil
Widow Tweed - Kindly Soul,Winterspell,676191,Rare,26/204,0.14,0.05,0.2,Normal
Raging Storm,Winterspell,676192,Super Rare,28/204,0.94,0.45,1.0,Normal
Morgana Macawber - Reformed Spellcaster,Winterspell,676193,Rare,47/204,0.13,0.03,0.2,Normal
Christopher Robin - Joining the Fun,Winterspell,676194,Uncommon,55/204,0.21,0.04,0.25,Normal
Sven - Leaping Reindeer,Winterspell,676195,Super Rare,60/204,0.67,0.15,1.0,Normal
Big Mama - Clever and Calming,Winterspell,676196,Uncommon,71/204,0.06,0.01,0.1,Normal
Boomer - Has the Beak,Winterspell,676197,Common,76/204,0.04,0.01,0.1,Normal
Chernabog - Unnatural Force,Winterspell,676198,Super Rare,77/204,0.86,0.32,0.99,Cold Foil
Dinky - Has the Brains,Winterspell,676199,Common,78/204,0.04,0.01,0.1,Normal
Squeaks - Cozy Caterpillar,Winterspell,676200,Common,80/204,0.13,0.03,0.23,Cold Foil
Aladdin - On the Edge of Adventure,Winterspell,676201,Common,81/204,0.04,0.01,0.1,Normal
Copper - Champion of the Forest,Winterspell,676202,Rare,84/204,0.22,0.08,0.25,Normal
Copper - Hound Pup,Winterspell,676203,Common,85/204,0.2,0.05,0.25,Cold Foil
Vixey - Forest Friend,Winterspell,676204,Uncommon,86/204,0.09,0.01,0.15,Normal
Tod - All Alone,Winterspell,676205,Common,87/204,0.22,0.09,0.25,Cold Foil
Minnie Mouse - Mrs. Cratchit,Winterspell,676206,Rare,88/204,0.22,0.1,0.25,Normal
Tod - Knows All the Tricks,Winterspell,676207,Legendary,92/204,4.37,3.6,5.96,Cold Foil
Education or Elimination,Winterspell,676208,Uncommon,97/204,0.09,0.01,0.15,Normal
Scrooge McDuck - Ghostly Ebenezer,Winterspell,676209,Uncommon,104/204,3.18,3.25,3.34,Cold Foil
Taurus Bulba - Steerminator,Winterspell,676210,Common,106/204,0.13,0.01,0.19,Cold Foil
Fa Zhou - Honorable Warrior,Winterspell,676211,Common,110/204,0.17,0.12,0.24,Cold Foil
Liquidator - Iced Over,Winterspell,676212,Uncommon,111/204,0.74,0.22,0.86,Cold Foil
Olaf - Snowman of Action,Winterspell,676213,Rare,122/204,0.69,0.36,0.74,Cold Foil
Scrooge McDuck - Ebenezer Scrooge,Winterspell,676214,Super Rare,124/204,0.26,0.1,0.35,Normal
Nani's Payback,Winterspell,676215,Super Rare,127/204,0.62,0.32,0.71,Cold Foil
Scrooge's Counting House - Ebenezer's Office,Winterspell,676216,Uncommon,134/204,0.12,0.01,0.15,Normal
Roo - Little Helper,Winterspell,676217,Uncommon,137/204,0.1,0.01,0.15,Normal
Kanga - Peaceful Gatherer,Winterspell,676218,Common,138/204,0.1,0.01,0.1,Normal
Piglet - Entranced by Snow,Winterspell,676219,Common,139/204,0.13,0.05,0.24,Cold Foil
Mickey Mouse - Tiny Tim's Father,Winterspell,676220,Common,140/204,0.16,0.06,0.2,Cold Foil
Minnie Mouse - Tiny Tim's Mother,Winterspell,676221,Common,141/204,0.15,0.04,0.25,Cold Foil
Daisy Duck - Isabel,Winterspell,676222,Uncommon,144/204,0.25,0.13,0.3,Cold Foil
Winnie the Pooh - Hungry Bear,Winterspell,676223,Common,151/204,0.06,0.01,0.1,Normal
Splatter Phoenix - Rejected Artist,Winterspell,676224,Uncommon,153/204,0.09,0.01,0.15,Normal
Tamatoa - Seeker of Shine,Winterspell,676225,Super Rare,156/204,0.77,0.48,0.91,Cold Foil
Morty Fieldmouse - Tiny Tim,Winterspell,676226,Rare,157/204,0.63,0.5,0.63,Cold Foil
Chief Tui - Weaving a Tale,Winterspell,676227,Common,161/204,0.1,0.01,0.2,Cold Foil
Distract,Winterspell,676228,Common,164/204,0.18,0.01,0.2,Cold Foil
Wipe Out!,Winterspell,676229,Uncommon,165/204,0.03,0.01,0.1,Normal
Blue Smoke,Winterspell,676230,Common,166/204,0.18,0.01,0.22,Cold Foil
Tiny Tim's Crutch,Winterspell,676231,Common,167/204,0.16,0.02,0.21,Cold Foil
Darkwing's Chair Set,Winterspell,676232,Rare,168/204,0.17,0.03,0.21,Normal
Darkwing's Gas Device,Winterspell,676233,Uncommon,169/204,0.24,0.13,0.25,Cold Foil
Hidden Trap,Winterspell,676234,Uncommon,170/204,0.05,0.01,0.1,Normal
Rapunzel - Ethereal Protector,Winterspell,676235,Rare,171/204,0.14,0.04,0.25,Normal
Prince Naveen - Bundled Up,Winterspell,676236,Common,173/204,0.15,0.03,0.23,Cold Foil
Li Shang - Solemn Son,Winterspell,676237,Common,175/204,0.08,0.01,0.1,Normal
Donald Duck - Along for the Ride,Winterspell,676238,Common,178/204,0.05,0.01,0.1,Normal
Duke Weaselton - Surly Crook,Winterspell,676239,Rare,182/204,0.54,0.14,0.57,Cold Foil
Li Shang - Valiant Leader,Winterspell,676240,Uncommon,183/204,0.23,0.03,0.25,Cold Foil
Angela - Night Warrior,Winterspell,676241,Super Rare,187/204,0.3,0.1,0.4,Normal
Darkwing Duck - Darkwarrior,Winterspell,676242,Rare,188/204,0.23,0.09,0.28,Normal
Gigi - Best in Snow,Winterspell,676243,Uncommon,189/204,0.44,0.14,0.5,Cold Foil
Grand Councilwoman - Galactic Authority,Winterspell,676244,Rare,190/204,0.18,0.09,0.24,Normal
John Smith - Undaunted Protector,Winterspell,676245,Super Rare,193/204,0.66,0.25,0.82,Cold Foil
Judy Hopps - Snowball Patrol,Winterspell,676246,Uncommon,194/204,0.26,0.09,0.28,Cold Foil
Lilo - Bundled Up,Winterspell,676247,Super Rare,195/204,4.36,3.63,4.52,Cold Foil
Nearly Indestructible,Winterspell,676248,Common,200/204,0.19,0.02,0.25,Cold Foil
Infra-Pink Ultra Scan Specs,Winterspell,676249,Common,201/204,0.19,0.05,0.25,Cold Foil
The Thunderquack,Winterspell,676250,Rare,202/204,1.11,0.87,1.2,Cold Foil
Containment Unit,Winterspell,676251,Rare,203/204,0.34,0.1,0.38,Cold Foil
Darkwing Tower - Icy Headquarters,Winterspell,676252,Uncommon,204/204,0.51,0.21,0.6,Cold Foil
Mother Will Protect You,Winterspell,677133,Common,30/204,0.04,0.01,0.1,Normal
Space Cows - Unexpected Allies,Winterspell,677134,Common,54/204,0.16,0.02,0.2,Cold Foil
Game Preserve - Protected Land,Winterspell,677135,Common,102/204,0.21,0.04,0.25,Cold Foil
Honker Muddlefoot - Timid Genius,Winterspell,677136,Common,143/204,0.07,0.01,0.1,Normal
Gosalyn Mallard - Curious Child,Winterspell,677137,Uncommon,149/204,0.21,0.05,0.25,Cold Foil
Mickey Mouse - Bob Cratchit,Winterspell,677138,Rare,159/204,0.62,0.4,0.61,Cold Foil
Launchpad - Hideout Defender,Winterspell,677139,Uncommon,172/204,0.24,0.09,0.28,Cold Foil
Darkwing Duck - Crime Fighter,Winterspell,677140,Common,174/204,0.31,0.05,0.31,Cold Foil
The Terror That Flaps in the Night,Winterspell,677141,Common,197/204,0.28,0.09,0.3,Cold Foil
Tiana - Warm and Happy (Epic),Winterspell,677142,Epic,205/204,3.19,2.5,3.18,Holofoil
Grandmother Willow - Ancient Advisor (Epic),Winterspell,677143,Epic,206/204,17.88,16.53,19.15,Holofoil
Tigger - Bouncing All the Way (Epic),Winterspell,677144,Epic,208/204,11.65,10.0,14.0,Holofoil
Anna - Little Sister (Epic),Winterspell,677145,Epic,209/204,4.31,3.5,4.75,Holofoil
Aladdin - On the Edge of Adventure (Epic),Winterspell,677146,Epic,211/204,2.23,1.92,2.57,Holofoil
Mushu - Sneaky Dragon (Epic),Winterspell,677147,Epic,212/204,2.57,1.99,3.0,Holofoil
Minnie Mouse - Mrs. Cratchit (Epic),Winterspell,677148,Epic,213/204,3.72,3.0,3.75,Holofoil
Hercules - Spectral Demigod (Epic),Winterspell,677149,Epic,214/204,3.27,2.47,3.4,Holofoil
Elsa - Concerned Sister (Epic),Winterspell,677150,Epic,215/204,4.75,4.0,4.95,Holofoil
Goofy - Klutzy Skier (Epic),Winterspell,677151,Epic,216/204,2.7,2.25,3.5,Holofoil
Winnie the Pooh - Hungry Bear (Epic),Winterspell,677152,Epic,217/204,8.79,8.06,9.29,Holofoil
Jiminy Cricket - Ghost of Christmas Past (Epic),Winterspell,677153,Epic,218/204,3.09,2.15,3.27,Holofoil
Mickey Mouse - Bob Cratchit (Epic),Winterspell,677154,Epic,219/204,4.02,3.39,4.12,Holofoil
Donald Duck - Along for the Ride (Epic),Winterspell,677155,Epic,220/204,4.36,2.16,4.33,Holofoil
Judy Hopps - Snowball Patrol (Epic),Winterspell,677156,Epic,221/204,4.52,3.0,4.78,Holofoil
Rapunzel - Ethereal Protector (Epic),Winterspell,677157,Epic,222/204,3.27,3.15,4.69,Holofoil
Lilo - Rock Star (Enchanted),Winterspell,677158,Enchanted,223/204,89.07,163.97,229.49,Holofoil
Raging Storm (Enchanted),Winterspell,677159,Enchanted,225/204,149.78,172.78,199.6,Holofoil
Anna - Soothing Sister (Enchanted),Winterspell,677160,Enchanted,227/204,123.18,180.01,190.0,Holofoil
Colors of the Wind (Enchanted),Winterspell,677161,Enchanted,228/204,109.67,137.09,148.99,Holofoil
Mulan - Resourceful Recruit (Enchanted),Winterspell,677162,Enchanted,229/204,73.3,72.0,86.94,Holofoil
Tod - Knows All the Tricks (Enchanted),Winterspell,677163,Enchanted,230/204,87.24,91.69,103.19,Holofoil
Negaduck - Public Enemy Number One (Enchanted),Winterspell,677164,Enchanted,232/204,81.31,99.99,125.47,Holofoil
The Cold Never Bothered Me (Enchanted),Winterspell,677165,Enchanted,234/204,94.56,160.0,190.0,Holofoil
Scrooge McDuck - Reformed Ebenezer (Enchanted),Winterspell,677166,Enchanted,235/204,106.22,103.0,142.99,Holofoil
Belle - Snowfield Strategist (Enchanted),Winterspell,677167,Enchanted,236/204,136.26,143.0,166.17,Holofoil
Tamatoa - Seeker of Shine (Enchanted),Winterspell,677168,Enchanted,237/204,79.13,124.99,145.0,Holofoil
Angel - Experiment 624 (Enchanted),Winterspell,677169,Enchanted,238/204,229.95,242.0,267.39,Holofoil
Darkwing Duck - Cool Under Pressure (Enchanted),Winterspell,677170,Enchanted,239/204,96.87,119.68,130.5,Holofoil
Let's Get Dangerous (Enchanted),Winterspell,677171,Enchanted,240/204,74.5,72.89,90.72,Holofoil
Iduna - Alarmed Queen (Foil),Winterspell,678861,Common,113/204,0.36,0.05,0.38,Cold Foil
Agnarr - King of Arendelle (Foil),Winterspell,678862,Common,114/204,0.29,0.03,0.35,Cold Foil
Roo - Little Helper (Foil),Winterspell,678863,Uncommon,137/204,0.83,0.45,0.88,Cold Foil
Kanga - Peaceful Gatherer (Foil),Winterspell,678864,Common,138/204,0.35,0.01,0.35,Cold Foil
Winterspell Snowball Fight Puzzle Insert (Set of 9),Winterspell,682933,None,,1.65,0.1,1.6,Normal
Winterspell Snowball Fight Puzzle Insert (Top Left),Winterspell,682934,None,,0.3,0.05,0.45,Normal
Winterspell Snowball Fight Puzzle Insert (Top Middle),Winterspell,682935,None,,0.74,0.1,0.7,Normal
Winterspell Snowball Fight Puzzle Insert (Top Right),Winterspell,682936,None,,,0.4,0.7,Normal
Winterspell Snowball Fight Puzzle Insert (Middle Left),Winterspell,682937,None,,,0.04,0.5,Normal
Winterspell Snowball Fight Puzzle Insert (Middle Center),Winterspell,682938,None,,,0.05,0.7,Normal
Winterspell Snowball Fight Puzzle Insert (Middle Right),Winterspell,682941,None,,,0.05,0.6,Normal
Winterspell Snowball Fight Puzzle Insert (Bottom Left),Winterspell,682942,None,,,0.05,0.69,Normal
Winterspell Snowball Fight Puzzle Insert (Bottom Middle),Winterspell,682943,None,,,0.05,0.5,Normal
Winterspell Snowball Fight Puzzle Insert (Bottom Right),Winterspell,682944,None,,,0.04,0.57,Normal
Disney Lorcana: Whispers in the Well Booster Pack,Whispers in the Well,652701,,,5.56,4.99,6.3,Normal
